trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
296,False,"{'e': 0.22763768838381274, 'a': 0.6039999999999998}",30,3,40.6790637900626,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'e': 0.22650234067646874, 'a': 0.6029999999999998}",20,9,18.867446253989776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'e': 0.22537265553943872, 'a': 0.6019999999999998}",20,10,18.47970029101843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'e': 0.22424860473053532, 'a': 0.6009999999999998}",25,0,-50.578176013239315,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
300,False,"{'e': 0.22313016014842982, 'a': 0.5999999999999998}",20,10,16.124224831522692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'e': 0.22201729383194937, 'a': 0.5989999999999998}",25,0,14.501839561514299,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
302,False,"{'e': 0.2209099779593782, 'a': 0.5979999999999998}",25,14,21.229850053224457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'e': 0.21980818484776168, 'a': 0.5969999999999998}",20,16,7.226622087809213,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'e': 0.21871188695221475, 'a': 0.5959999999999998}",25,8,-3.127153419110715,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
305,False,"{'e': 0.21762105686523284, 'a': 0.5949999999999998}",20,0,-60.20106244105971,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
306,False,"{'e': 0.21653566731600707, 'a': 0.5939999999999998}",25,0,10.413125033105727,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
307,False,"{'e': 0.21545569116974203, 'a': 0.5929999999999997}",20,0,14.797557709469757,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
